Date ,VALUE
14-Dec-2021,732
13-Dec-2021,752
10-Dec-2021,765
09-Dec-2021,766
08-Dec-2021,759
07-Dec-2021,744
06-Dec-2021,746
03-Dec-2021,767
02-Dec-2021,764
01-Dec-2021,767
30-Nov-2021,764
29-Nov-2021,749
26-Nov-2021,763
25-Nov-2021,796
24-Nov-2021,796
23-Nov-2021,802
22-Nov-2021,807
18-Nov-2021,822
17-Nov-2021,833
16-Nov-2021,830
15-Nov-2021,847
12-Nov-2021,840
11-Nov-2021,823
10-Nov-2021,831
09-Nov-2021,826
08-Nov-2021,817
04-Nov-2021,826
03-Nov-2021,820
02-Nov-2021,823
01-Nov-2021,806
29-Oct-2021,794
28-Oct-2021,806
27-Oct-2021,810
26-Oct-2021,786
25-Oct-2021,774
22-Oct-2021,790
21-Oct-2021,808
20-Oct-2021,823
19-Oct-2021,840
18-Oct-2021,842
14-Oct-2021,846
13-Oct-2021,818
12-Oct-2021,814
11-Oct-2021,813
08-Oct-2021,812
07-Oct-2021,821
06-Oct-2021,803
05-Oct-2021,800
04-Oct-2021,802
01-Oct-2021,796
30-Sep-2021,811
29-Sep-2021,811
28-Sep-2021,817
27-Sep-2021,829
24-Sep-2021,834
23-Sep-2021,849
22-Sep-2021,852
21-Sep-2021,851
20-Sep-2021,855
17-Sep-2021,866
16-Sep-2021,871
15-Sep-2021,871
14-Sep-2021,878
13-Sep-2021,871
09-Sep-2021,873
08-Sep-2021,856
07-Sep-2021,865
06-Sep-2021,863
03-Sep-2021,862
02-Sep-2021,862
01-Sep-2021,852
31-Aug-2021,856
30-Aug-2021,850
27-Aug-2021,844
26-Aug-2021,835
25-Aug-2021,833
24-Aug-2021,827
23-Aug-2021,823
20-Aug-2021,827
18-Aug-2021,830
17-Aug-2021,805
16-Aug-2021,800
13-Aug-2021,774
12-Aug-2021,763
11-Aug-2021,752
10-Aug-2021,761
09-Aug-2021,763
06-Aug-2021,772
05-Aug-2021,757
04-Aug-2021,755
03-Aug-2021,760
02-Aug-2021,757
30-Jul-2021,745
29-Jul-2021,749
28-Jul-2021,739
27-Jul-2021,764
26-Jul-2021,771
23-Jul-2021,766
22-Jul-2021,755
20-Jul-2021,747
19-Jul-2021,759
16-Jul-2021,761
15-Jul-2021,764
14-Jul-2021,763
13-Jul-2021,767
12-Jul-2021,769
09-Jul-2021,760
08-Jul-2021,757
07-Jul-2021,751
06-Jul-2021,758
05-Jul-2021,765
02-Jul-2021,753
01-Jul-2021,750
30-Jun-2021,749
29-Jun-2021,756
28-Jun-2021,759
25-Jun-2021,754
24-Jun-2021,754
23-Jun-2021,752
22-Jun-2021,742
21-Jun-2021,728
18-Jun-2021,732
17-Jun-2021,725
16-Jun-2021,721
15-Jun-2021,715